category,model_id,.cc3d,.cps,.f,.graphml,.inp,.java,.m,.mat,.ode,.omex,.pkl,.py,.sbml,.sci,.sedml,.sif,.svg,.tsv,.vcml,.xml,.xpp,.yaml,.zip
hiv_files,MODEL1812040002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
influenza_files,BIOMD0000000708,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0
influenza_files,BIOMD0000000709,0,2,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0
influenza_files,BIOMD0000000889,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
influenza_files,MODEL1504160000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0
influenza_files,BIOMD0000000463,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,1,0,0,2,0,0,0
influenza_files,BIOMD0000000851,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0
influenza_files,MODEL2311070005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
influenza_files,MODEL2311070002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
influenza_files,BIOMD0000000528,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0
influenza_files,MODEL1812040006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
influenza_files,BIOMD0000000529,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0
influenza_files,MODEL2311070003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
influenza_files,BIOMD0000000712,0,4,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,0,0,2,0,0,0
influenza_files,MODEL2311070004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
influenza_files,BIOMD0000001045,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0
influenza_files,MODEL1406230000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0
influenza_files,BIOMD0000000865,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
influenza_files,MODEL1411130000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0
influenza_files,BIOMD0000000710,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0
influenza_files,MODEL2311070001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
influenza_files,MODEL2311070006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
influenza_files,BIOMD0000000717,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0
influenza_files,MODEL1812040005,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
influenza_files,BIOMD0000000716,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0
influenza_files,MODEL2311070007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
influenza_files,BIOMD0000000711,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0
influenza_files,BIOMD0000000546,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
